congress,month,enacted,introduced
108,15,24,361
108,16,15,274
108,17,14,320
108,18,27,416
108,19,21,420
108,20,0,1
108,21,23,310
108,22,9,261
109,1,36,656
109,2,45,831
109,3,29,691
109,4,26,889
109,5,27,894
109,6,34,669
109,7,32,698
109,8,0,615
109,9,34,531
109,10,20,351
109,11,14,391
109,12,27,320
109,13,3,80
109,14,14,264
109,15,21,398
109,16,20,379
109,17,17,945
109,18,22,510
109,19,18,421
109,20,1,75
109,21,25,498
109,22,0,277
110,1,48,1269
110,2,29,724
110,3,38,972
110,4,9,403
110,5,25,776
110,6,29,609
110,7,19,479
110,8,16,308
110,9,24,347
110,10,25,504
110,11,17,338
110,12,24,826
110,13,11,349
110,14,17,392
110,15,9,263
110,16,17,432
110,17,26,366
110,18,19,425
110,19,21,540
110,20,0,92
110,21,31,620
110,22,1,56
111,1,24,1155
111,2,23,607
111,3,34,863
111,4,15,592
111,5,15,638
111,6,30,701
111,7,26,591
111,8,2,93
111,9,20,240
111,10,20,1165
111,11,6,394
111,12,20,374
111,13,11,198
111,14,8,244
111,15,15,425
111,16,17,310
111,17,17,446
111,18,16,299
111,19,16,543
111,20,6,113
111,21,23,476
111,22,0,302
112,1,16,774
112,2,26,535
112,3,15,764
112,4,16,513
112,5,21,694
112,6,16,532
112,7,16,444
112,8,3,176
112,9,12,374
112,10,14,350
112,11,7,423
112,12,13,342
112,13,5,117
112,14,15,356
112,15,11,377
112,16,9,1201
112,17,10,1307
112,18,16,317
112,19,9,273
112,20,7,175
112,21,11,315
112,22,1,15
113,1,25,655
113,2,28,737
113,3,29,715
113,4,11,616
113,5,14,629
113,6,18,584
113,7,13,443
113,8,11,237
113,9,15,255
113,10,13,331
113,11,14,321
113,12,10,304
113,13,6,261
113,14,8,255
113,15,17,333
113,16,8,279
113,17,6,394
113,18,13,378
113,19,18,592
113,20,0,14
113,21,5,427
113,22,0,286
114,1,38,964
114,2,36,860
114,3,27,827
114,4,22,755
114,5,20,692
114,6,27,598
114,7,16,709
114,8,1,100
114,9,9,326
114,10,12,326
114,11,11,381
114,12,8,284
114,13,3,124
114,14,10,391
114,15,10,371
114,16,23,442
114,17,6,334
114,18,9,346
114,19,14,481
114,20,0,519
114,21,13,556
114,22,0,351
